IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
141.148.228.106,443,0,true,FRA,Europe,Frankfurt,184,4.57
144.24.85.158,443,443,true,ICN,Asia Pacific,Seoul,212,1.83
143.47.244.251,443,443,true,FRA,Europe,Frankfurt,182,1.58
168.138.71.220,443,443,true,YYZ,North America,Toronto,283,1.57
89.168.82.82,443,443,true,FRA,Europe,Frankfurt,181,1.37
158.101.98.60,2095,443,true,IAD,North America,Ashburn,273,1.36
144.24.184.79,443,443,true,FRA,Europe,Frankfurt,186,1.25
144.24.163.180,443,443,true,FRA,Europe,Frankfurt,188,1.23
143.47.246.246,443,443,true,FRA,Europe,Frankfurt,173,1.18
146.56.146.67,443,443,true,HKG,Asia Pacific,Hong Kong,97,1.18
158.101.203.93,443,443,true,FRA,Europe,Frankfurt,184,1.10
204.216.214.115,2095,443,true,LYS,Europe,Lyon,176,1.09
130.61.206.32,443,443,true,FRA,Europe,Frankfurt,158,1.08
140.238.158.238,443,443,true,YYZ,North America,Toronto,261,1.04
141.148.224.175,443,443,true,FRA,Europe,Frankfurt,178,0.99
89.168.73.185,443,443,true,FRA,Europe,Frankfurt,174,0.97
141.147.0.80,443,443,true,FRA,Europe,Frankfurt,164,0.95
193.123.33.187,443,443,true,FRA,Europe,Frankfurt,177,0.93
158.178.147.107,443,443,true,FRA,Europe,Frankfurt,181,0.92
84.235.172.254,443,443,true,FRA,Europe,Frankfurt,184,0.92
141.148.245.123,443,443,true,FRA,Europe,Frankfurt,169,0.92
150.230.146.73,443,443,true,FRA,Europe,Frankfurt,173,0.86
141.148.233.160,443,443,true,FRA,Europe,Frankfurt,168,0.86
141.147.62.119,443,443,true,FRA,Europe,Frankfurt,176,0.84
129.159.254.195,443,443,true,FRA,Europe,Frankfurt,177,0.83
141.147.69.198,443,443,true,FRA,Europe,Frankfurt,200,0.80
141.148.241.154,443,443,true,FRA,Europe,Frankfurt,174,0.80
132.145.239.247,443,443,true,FRA,Europe,Frankfurt,174,0.80
143.47.181.225,443,443,true,FRA,Europe,Frankfurt,171,0.79
144.24.189.21,443,443,true,FRA,Europe,Frankfurt,186,0.79
143.47.187.98,443,443,true,FRA,Europe,Frankfurt,194,0.78
129.159.83.88,8443,443,true,IAD,North America,Ashburn,262,0.76
130.162.171.124,443,443,true,FRA,Europe,Frankfurt,206,0.74
141.144.206.240,443,443,true,FRA,Europe,Frankfurt,173,0.73
143.47.190.165,443,443,true,FRA,Europe,Frankfurt,195,0.71
89.168.71.236,443,443,true,FRA,Europe,Frankfurt,178,0.71
132.145.244.133,443,443,true,FRA,Europe,Frankfurt,180,0.70
152.70.189.253,443,443,true,FRA,Europe,Frankfurt,161,0.69
141.148.229.220,443,443,true,FRA,Europe,Frankfurt,177,0.67
138.2.176.156,443,443,true,FRA,Europe,Frankfurt,234,0.66
138.2.160.252,443,443,true,FRA,Europe,Frankfurt,264,0.65
141.147.92.246,443,443,true,FRA,Europe,Frankfurt,185,0.65
130.61.203.115,8443,443,true,FRA,Europe,Frankfurt,170,0.61
193.123.59.169,443,443,true,FRA,Europe,Frankfurt,180,0.52
138.2.139.122,443,443,true,FRA,Europe,Frankfurt,272,0.51
141.144.197.200,443,443,true,FRA,Europe,Frankfurt,175,0.51
158.178.206.197,2053,443,true,CDG,Europe,Paris,180,0.49
130.162.175.125,443,443,true,FRA,Europe,Frankfurt,182,0.44
152.70.117.136,443,443,true,SJC,North America,San Jose,191,0.44
138.2.134.181,443,443,true,FRA,Europe,Frankfurt,278,0.43
141.147.47.32,8443,443,true,FRA,Europe,Frankfurt,178,0.40
158.179.203.23,443,443,true,OSL,Europe,Oslo,244,0.37
132.226.163.224,2053,443,true,GRU,South America,São Paulo,394,0.33
144.24.169.81,8443,443,true,FRA,Europe,Frankfurt,200,0.30
146.235.59.153,2053,443,true,GRU,South America,São Paulo,381,0.29
89.168.43.31,2053,443,true,CDG,Europe,Paris,188,0.13
132.226.197.119,443,443,true,FRA,Europe,Frankfurt,177,0.13
158.178.129.114,2053,443,true,TLV,Middle East,Tel Aviv,217,0.12
146.235.59.153,8443,443,true,GRU,South America,São Paulo,377,0.02
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,181,0.02
158.180.15.45,443,443,true,FRA,Europe,Frankfurt,175,0.00
152.70.52.77,443,443,true,FRA,Europe,Frankfurt,182,0.00
168.138.165.174,443,443,true,SIN,Asia Pacific,Singapore,344,0.00
139.185.34.131,443,443,true,CDG,Europe,Paris,223,0.00
84.235.169.234,443,443,true,AMS,Europe,Amsterdam,184,0.00
193.123.63.187,443,443,true,FRA,Europe,Frankfurt,211,0.00
204.216.214.115,2053,443,true,MRS,Europe,Marseille,174,0.00
130.162.61.18,80,80,false,FRA,Europe,Frankfurt,175,0.00
132.145.134.230,443,443,true,IAD,North America,Ashburn,265,0.00
79.72.67.185,443,443,true,LHR,Europe,London,182,0.00
79.72.81.223,443,443,true,FRA,Europe,Frankfurt,186,0.00
